OWIO, OWST, PWIO, AVGWIO, TAG
20, 0.000000, 100.000000, 43.040000, 0
20, 0.000000, 100.000000, 59.760000, 0
12, 11.500000, 92.000000, 47.217391, 0
0, 2.571429, 72.000000, 57.000000, 0
0, 1.083333, 52.000000, 43.692308, 0
0, 0.470588, 32.000000, 63.500000, 0
11, 0.298701, 23.000000, 12.521739, 0
20, 0.449275, 31.000000, 39.225806, 0
20, 1.040816, 51.000000, 43.921569, 0
20, 2.448276, 71.000000, 34.704225, 0
20, 10.111111, 91.000000, 47.318681, 0
1, 4.263158, 81.000000, 52.172840, 0
0, 1.564103, 61.000000, 50.786885, 0
5, 0.851852, 46.000000, 46.478261, 0
0, 0.351351, 26.000000, 73.615385, 0
0, 0.063830, 6.000000, 12.000000, 0
0, 0.052632, 5.000000, 12.800000, 0
0, 0.052632, 5.000000, 12.800000, 0
0, 0.000000, 0.000000, 0.000000, 0
0, 0.000000, 0.000000, 0.000000, 0
0, 0.000000, 0.000000, 0.000000, 0
6, 0.063830, 6.000000, 29.333333, 1
20, 0.351351, 26.000000, 37.538462, 1
20, 0.851852, 46.000000, 28.000000, 1
20, 1.941176, 66.000000, 24.000000, 1
20, 6.142857, 86.000000, 24.651163, 1
20, 0.000000, 100.000000, 23.120000, 1
20, 0.000000, 100.000000, 19.120000, 1
20, 0.000000, 100.000000, 20.240000, 1
20, 0.000000, 100.000000, 20.720000, 1
20, 0.000000, 100.000000, 18.400000, 1
20, 0.000000, 100.000000, 16.880000, 1
20, 0.000000, 100.000000, 15.360000, 1
20, 0.000000, 100.000000, 12.880000, 1
20, 0.000000, 100.000000, 12.240000, 1
20, 0.000000, 100.000000, 11.760000, 1
20, 0.000000, 100.000000, 11.760000, 1
20, 0.000000, 100.000000, 12.240000, 1
20, 0.000000, 100.000000, 15.120000, 1
20, 0.000000, 100.000000, 14.720000, 1
20, 0.000000, 100.000000, 14.800000, 1
20, 0.000000, 100.000000, 19.280000, 1
20, 0.000000, 100.000000, 23.120000, 1
20, 0.000000, 100.000000, 21.920000, 1
20, 0.000000, 100.000000, 23.440000, 1
20, 0.000000, 100.000000, 25.280000, 1
20, 0.000000, 100.000000, 22.240000, 1
20, 0.000000, 100.000000, 20.320000, 1
20, 0.000000, 100.000000, 20.720000, 1
20, 0.000000, 100.000000, 22.320000, 1
20, 0.000000, 100.000000, 61.120000, 1
20, 0.000000, 100.000000, 99.600000, 1
20, 0.000000, 100.000000, 119.200000, 1
20, 0.000000, 100.000000, 144.960000, 1
20, 0.000000, 100.000000, 159.840000, 1
20, 0.000000, 100.000000, 158.960000, 1
20, 0.000000, 100.000000, 144.480000, 1
20, 0.000000, 100.000000, 145.120000, 1
20, 0.000000, 100.000000, 129.920000, 1
20, 0.000000, 100.000000, 117.440000, 1
20, 0.000000, 100.000000, 85.280000, 1
20, 0.000000, 100.000000, 78.640000, 1
20, 0.000000, 100.000000, 61.840000, 1
20, 0.000000, 100.000000, 75.440000, 1
20, 0.000000, 100.000000, 79.120000, 1
20, 0.000000, 100.000000, 99.200000, 1
20, 0.000000, 100.000000, 105.440000, 1
20, 0.000000, 100.000000, 114.480000, 1
20, 0.000000, 100.000000, 100.240000, 1
20, 0.000000, 100.000000, 91.920000, 1
20, 0.000000, 100.000000, 68.400000, 1
20, 0.000000, 100.000000, 45.200000, 1
20, 0.000000, 100.000000, 67.200000, 1
20, 0.000000, 100.000000, 59.360000, 1
20, 0.000000, 100.000000, 75.760000, 1
20, 0.000000, 100.000000, 76.800000, 1
20, 0.000000, 100.000000, 77.120000, 1
20, 0.000000, 100.000000, 42.640000, 1
20, 0.000000, 100.000000, 42.880000, 1
20, 0.000000, 100.000000, 25.760000, 1
20, 0.000000, 100.000000, 20.240000, 1
20, 0.000000, 100.000000, 18.800000, 1
20, 0.000000, 100.000000, 16.400000, 1
20, 0.000000, 100.000000, 13.120000, 1
20, 0.000000, 100.000000, 12.560000, 1
20, 0.000000, 100.000000, 13.760000, 1
20, 0.000000, 100.000000, 14.720000, 1
18, 49.000000, 98.000000, 14.122449, 1
19, 32.333333, 97.000000, 12.865979, 1
20, 32.333333, 97.000000, 14.680412, 1
20, 32.333333, 97.000000, 14.350515, 1
20, 32.333333, 97.000000, 12.618557, 1
20, 99.000000, 99.000000, 12.686869, 1
20, 0.000000, 100.000000, 13.040000, 1
20, 0.000000, 100.000000, 11.040000, 1
20, 0.000000, 100.000000, 10.320000, 1
20, 0.000000, 100.000000, 10.720000, 1
20, 0.000000, 100.000000, 10.800000, 1
20, 0.000000, 100.000000, 10.880000, 1
20, 0.000000, 100.000000, 13.200000, 1
20, 0.000000, 100.000000, 20.320000, 1
20, 0.000000, 100.000000, 32.240000, 1
20, 0.000000, 100.000000, 36.240000, 1
20, 0.000000, 100.000000, 52.880000, 1
20, 0.000000, 100.000000, 56.800000, 1
20, 0.000000, 100.000000, 64.960000, 1
20, 0.000000, 100.000000, 59.840000, 1
20, 0.000000, 100.000000, 60.640000, 1
20, 0.000000, 100.000000, 53.840000, 1
20, 0.000000, 100.000000, 53.840000, 1
20, 0.000000, 100.000000, 44.080000, 1
20, 0.000000, 100.000000, 48.880000, 1
20, 0.000000, 100.000000, 48.480000, 1
20, 0.000000, 100.000000, 45.760000, 1
20, 0.000000, 100.000000, 48.640000, 1
20, 0.000000, 100.000000, 52.400000, 1
20, 0.000000, 100.000000, 51.200000, 1
20, 0.000000, 100.000000, 55.040000, 1
13, 13.285714, 93.000000, 62.279570, 1
0, 2.703704, 73.000000, 64.438356, 1
2, 1.222222, 55.000000, 65.890909, 1
0, 0.538462, 35.000000, 66.514286, 1
1, 0.190476, 16.000000, 82.500000, 1
3, 0.063830, 6.000000, 40.000000, 1
1, 0.075269, 7.000000, 48.000000, 1
3, 0.086957, 8.000000, 39.000000, 1
2, 0.111111, 10.000000, 50.400000, 1
1, 0.111111, 10.000000, 74.400000, 1
0, 0.075269, 7.000000, 88.000000, 1
8, 0.162791, 14.000000, 54.857143, 1
13, 0.315789, 24.000000, 37.333333, 1
20, 0.724138, 42.000000, 26.095238, 1
20, 1.564103, 61.000000, 19.672131, 1
20, 4.263158, 81.000000, 29.530864, 1
20, 13.285714, 93.000000, 25.806452, 1
20, 0.000000, 100.000000, 27.760000, 1
20, 0.000000, 100.000000, 30.880000, 1
20, 0.000000, 100.000000, 34.560000, 1
20, 0.000000, 100.000000, 28.720000, 1
20, 0.000000, 100.000000, 33.600000, 1
20, 0.000000, 100.000000, 34.720000, 1
20, 0.000000, 100.000000, 34.080000, 1
20, 0.000000, 100.000000, 35.040000, 1
20, 0.000000, 100.000000, 31.280000, 1
20, 0.000000, 100.000000, 26.880000, 1
20, 0.000000, 100.000000, 28.000000, 1
20, 0.000000, 100.000000, 23.760000, 1
20, 0.000000, 100.000000, 18.240000, 1
20, 0.000000, 100.000000, 21.280000, 1
20, 0.000000, 100.000000, 20.880000, 1
20, 0.000000, 100.000000, 15.920000, 1
20, 0.000000, 100.000000, 15.840000, 1
20, 0.000000, 100.000000, 14.720000, 1
20, 0.000000, 100.000000, 10.960000, 1
20, 0.000000, 100.000000, 9.920000, 1
20, 0.000000, 100.000000, 8.480000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
7, 6.692308, 87.000000, 8.000000, 1
3, 2.333333, 70.000000, 8.000000, 1
6, 1.272727, 56.000000, 8.000000, 1
1, 0.587302, 37.000000, 8.000000, 1
0, 0.204819, 17.000000, 8.000000, 1
0, 0.111111, 10.000000, 8.000000, 1
0, 0.075269, 7.000000, 8.000000, 1
0, 0.010101, 1.000000, 8.000000, 1
10, 0.111111, 10.000000, 8.000000, 1
20, 0.428571, 30.000000, 8.266667, 1
20, 1.000000, 50.000000, 8.160000, 1
14, 1.777778, 64.000000, 8.125000, 1
20, 5.250000, 84.000000, 8.095238, 1
20, 15.666667, 94.000000, 8.085106, 1
20, 15.666667, 94.000000, 8.000000, 1
20, 15.666667, 94.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 9.920000, 1
20, 0.000000, 100.000000, 9.920000, 1
20, 0.000000, 100.000000, 9.920000, 1
20, 0.000000, 100.000000, 9.920000, 1
20, 0.000000, 100.000000, 10.000000, 1
20, 0.000000, 100.000000, 8.160000, 1
20, 0.000000, 100.000000, 8.160000, 1
20, 0.000000, 100.000000, 8.160000, 1
20, 0.000000, 100.000000, 8.960000, 1
20, 0.000000, 100.000000, 10.160000, 1
20, 0.000000, 100.000000, 10.080000, 1
20, 0.000000, 100.000000, 10.080000, 1
20, 0.000000, 100.000000, 17.840000, 1
20, 0.000000, 100.000000, 17.040000, 1
20, 0.000000, 100.000000, 15.760000, 1
20, 0.000000, 100.000000, 15.760000, 1
20, 0.000000, 100.000000, 15.760000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.160000, 1
20, 0.000000, 100.000000, 8.160000, 1
20, 0.000000, 100.000000, 8.160000, 1
20, 0.000000, 100.000000, 8.160000, 1
20, 0.000000, 100.000000, 8.160000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
20, 0.000000, 100.000000, 8.000000, 1
11, 10.111111, 91.000000, 8.000000, 1
0, 2.448276, 71.000000, 8.000000, 1
1, 1.083333, 52.000000, 8.000000, 1
2, 0.515152, 34.000000, 8.000000, 1
0, 0.162791, 14.000000, 8.000000, 1
1, 0.041667, 4.000000, 8.000000, 1
1, 0.052632, 5.000000, 8.000000, 1
1, 0.052632, 5.000000, 8.000000, 1
7, 0.111111, 10.000000, 8.000000, 1
20, 0.428571, 30.000000, 8.000000, 1
20, 0.960784, 49.000000, 8.000000, 1
10, 1.380952, 58.000000, 8.000000, 1
20, 3.347826, 77.000000, 8.000000, 1
17, 6.692308, 87.000000, 8.000000, 1
20, 6.692308, 87.000000, 8.091954, 1
20, 6.692308, 87.000000, 8.091954, 1
20, 32.333333, 97.000000, 8.082474, 1
20, 32.333333, 97.000000, 8.082474, 1
20, 0.000000, 100.000000, 8.080000, 1
20, 0.000000, 100.000000, 11.760000, 1
20, 0.000000, 100.000000, 13.680000, 1
20, 0.000000, 100.000000, 20.240000, 1
20, 0.000000, 100.000000, 23.680000, 1
20, 0.000000, 100.000000, 49.680000, 1
3, 4.882353, 83.000000, 59.277108, 1
0, 1.702703, 63.000000, 72.507937, 1
0, 0.754386, 43.000000, 87.255814, 1
0, 0.298701, 23.000000, 141.217391, 1
0, 0.030928, 3.000000, 162.666667, 1
0, 0.000000, 0.000000, 0.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
1, 0.010101, 1.000000, 96.000000, 1
0, 0.010101, 1.000000, 96.000000, 1
1, 0.020408, 2.000000, 176.000000, 1
2, 0.041667, 4.000000, 98.000000, 1
0, 0.041667, 4.000000, 98.000000, 1
0, 0.030928, 3.000000, 98.666667, 1
0, 0.030928, 3.000000, 98.666667, 1
0, 0.020408, 2.000000, 20.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
0, 0.000000, 0.000000, 0.000000, 1
19, 0.234568, 19.000000, 25.263158, 1
20, 0.639344, 39.000000, 21.948718, 1
20, 1.439024, 59.000000, 18.847458, 1
20, 3.761905, 79.000000, 16.101266, 1
20, 99.000000, 99.000000, 14.464646, 1
20, 0.000000, 100.000000, 13.600000, 1
20, 0.000000, 100.000000, 14.880000, 1
20, 0.000000, 100.000000, 16.640000, 1
20, 0.000000, 100.000000, 18.480000, 1
20, 0.000000, 100.000000, 21.360000, 1
20, 0.000000, 100.000000, 19.600000, 1
20, 0.000000, 100.000000, 16.880000, 1
20, 0.000000, 100.000000, 15.120000, 1
20, 0.000000, 100.000000, 14.480000, 1
20, 0.000000, 100.000000, 13.440000, 1
20, 0.000000, 100.000000, 14.800000, 1
20, 0.000000, 100.000000, 14.400000, 1
20, 0.000000, 100.000000, 14.160000, 1
20, 0.000000, 100.000000, 15.280000, 1
20, 0.000000, 100.000000, 15.680000, 1
20, 0.000000, 100.000000, 13.920000, 1
20, 0.000000, 100.000000, 14.640000, 1
20, 0.000000, 100.000000, 15.680000, 1
20, 0.000000, 100.000000, 14.080000, 1
20, 0.000000, 100.000000, 13.120000, 1
20, 0.000000, 100.000000, 13.280000, 1
20, 0.000000, 100.000000, 13.360000, 1
20, 0.000000, 100.000000, 12.560000, 1
20, 0.000000, 100.000000, 12.160000, 1
20, 0.000000, 100.000000, 11.280000, 1
20, 0.000000, 100.000000, 11.280000, 1
20, 0.000000, 100.000000, 10.160000, 1
20, 0.000000, 100.000000, 10.000000, 1
20, 0.000000, 100.000000, 9.920000, 1
20, 0.000000, 100.000000, 9.920000, 1
20, 0.000000, 100.000000, 9.920000, 1
20, 0.000000, 100.000000, 10.080000, 1
20, 0.000000, 100.000000, 9.760000, 1
20, 0.000000, 100.000000, 10.080000, 1
17, 32.333333, 97.000000, 10.391753, 1
17, 15.666667, 94.000000, 10.127660, 1
20, 15.666667, 94.000000, 9.957447, 1
20, 15.666667, 94.000000, 9.702128, 1
20, 15.666667, 94.000000, 9.361702, 1
20, 32.333333, 97.000000, 9.237113, 1
20, 0.000000, 100.000000, 11.520000, 1
20, 0.000000, 100.000000, 13.120000, 1
20, 0.000000, 100.000000, 13.280000, 1
20, 0.000000, 100.000000, 14.240000, 1
20, 0.000000, 100.000000, 14.800000, 1
20, 0.000000, 100.000000, 13.200000, 1
20, 0.000000, 100.000000, 12.000000, 1
20, 0.000000, 100.000000, 14.480000, 1
20, 0.000000, 100.000000, 14.240000, 1
20, 0.000000, 100.000000, 16.480000, 1
20, 0.000000, 100.000000, 17.440000, 1
20, 0.000000, 100.000000, 17.840000, 1
20, 0.000000, 100.000000, 16.160000, 1
20, 0.000000, 100.000000, 16.480000, 1
20, 0.000000, 100.000000, 15.600000, 1
20, 0.000000, 100.000000, 15.200000, 1
20, 0.000000, 100.000000, 15.600000, 1
20, 0.000000, 100.000000, 16.160000, 1
20, 0.000000, 100.000000, 17.280000, 1
20, 0.000000, 100.000000, 15.600000, 1
20, 0.000000, 100.000000, 15.760000, 1
20, 0.000000, 100.000000, 16.160000, 1
20, 0.000000, 100.000000, 17.600000, 1
20, 0.000000, 100.000000, 15.600000, 1
20, 0.000000, 100.000000, 15.680000, 1
20, 0.000000, 100.000000, 14.640000, 1
20, 0.000000, 100.000000, 14.080000, 1
20, 0.000000, 100.000000, 11.920000, 1
20, 0.000000, 100.000000, 12.720000, 1
20, 0.000000, 100.000000, 12.400000, 1
20, 0.000000, 100.000000, 20.640000, 1
20, 0.000000, 100.000000, 20.320000, 1
20, 0.000000, 100.000000, 20.960000, 1
20, 0.000000, 100.000000, 21.280000, 1
20, 0.000000, 100.000000, 22.480000, 1
20, 0.000000, 100.000000, 14.400000, 1
20, 0.000000, 100.000000, 22.160000, 1
20, 0.000000, 100.000000, 23.280000, 1
20, 0.000000, 100.000000, 24.800000, 1
16, 24.000000, 96.000000, 25.583333, 1
20, 24.000000, 96.000000, 28.750000, 1
20, 24.000000, 96.000000, 22.750000, 1
20, 24.000000, 96.000000, 21.166667, 1
20, 24.000000, 96.000000, 20.833333, 1
20, 0.000000, 100.000000, 22.320000, 1
20, 0.000000, 100.000000, 22.960000, 1
20, 0.000000, 100.000000, 22.960000, 1
20, 0.000000, 100.000000, 25.120000, 1
20, 0.000000, 100.000000, 26.080000, 1
20, 0.000000, 100.000000, 27.920000, 1
20, 0.000000, 100.000000, 27.680000, 1
20, 0.000000, 100.000000, 28.320000, 1
20, 0.000000, 100.000000, 28.720000, 1
20, 0.000000, 100.000000, 27.760000, 1
20, 0.000000, 100.000000, 26.000000, 1
20, 0.000000, 100.000000, 27.440000, 1
20, 0.000000, 100.000000, 27.600000, 1
20, 0.000000, 100.000000, 28.800000, 1
20, 0.000000, 100.000000, 29.840000, 1
20, 0.000000, 100.000000, 28.800000, 1
20, 0.000000, 100.000000, 28.160000, 1
20, 0.000000, 100.000000, 27.760000, 1
20, 0.000000, 100.000000, 25.440000, 1
20, 0.000000, 100.000000, 25.040000, 1
20, 0.000000, 100.000000, 25.440000, 1
20, 0.000000, 100.000000, 23.680000, 1
20, 0.000000, 100.000000, 25.200000, 1
9, 8.090909, 89.000000, 26.337079, 1
2, 2.448276, 71.000000, 26.816901, 1
1, 1.083333, 52.000000, 27.692308, 1
1, 0.492537, 33.000000, 29.333333, 1
1, 0.162791, 14.000000, 25.714286, 1
1, 0.063830, 6.000000, 18.666667, 1
4, 0.086957, 8.000000, 25.000000, 1
0, 0.075269, 7.000000, 25.142857, 1
1, 0.075269, 7.000000, 26.285714, 1
0, 0.063830, 6.000000, 28.000000, 1
2, 0.075269, 7.000000, 28.571429, 1
3, 0.063830, 6.000000, 21.333333, 1
1, 0.075269, 7.000000, 22.857143, 1
0, 0.063830, 6.000000, 24.000000, 1
0, 0.063830, 6.000000, 24.000000, 1
0, 0.041667, 4.000000, 26.000000, 1
4, 0.052632, 5.000000, 35.200000, 1
1, 0.052632, 5.000000, 35.200000, 1
2, 0.075269, 7.000000, 49.142857, 1
0, 0.075269, 7.000000, 49.142857, 1
2, 0.098901, 9.000000, 42.666667, 1
2, 0.075269, 7.000000, 46.857143, 1
2, 0.086957, 8.000000, 40.000000, 1
1, 0.075269, 7.000000, 24.000000, 1
2, 0.098901, 9.000000, 23.111111, 1
2, 0.098901, 9.000000, 32.888889, 1
3, 0.111111, 10.000000, 25.600000, 1
2, 0.111111, 10.000000, 24.800000, 1
4, 0.149425, 13.000000, 23.384615, 1
1, 0.136364, 12.000000, 24.000000, 1
9, 0.234568, 19.000000, 20.210526, 1
20, 0.562500, 36.000000, 24.888889, 1
20, 1.173913, 54.000000, 26.666667, 1
20, 2.333333, 70.000000, 29.485714, 1
20, 8.090909, 89.000000, 28.674157, 1
20, 0.000000, 100.000000, 25.760000, 1
20, 0.000000, 100.000000, 24.960000, 1
20, 0.000000, 100.000000, 24.000000, 1
20, 0.000000, 100.000000, 23.200000, 1
20, 0.000000, 100.000000, 20.560000, 1
20, 0.000000, 100.000000, 22.640000, 1
20, 0.000000, 100.000000, 20.880000, 1
20, 0.000000, 100.000000, 19.440000, 1
20, 0.000000, 100.000000, 18.880000, 1
20, 0.000000, 100.000000, 20.080000, 1
20, 0.000000, 100.000000, 19.760000, 1
20, 0.000000, 100.000000, 20.320000, 1
20, 0.000000, 100.000000, 21.680000, 1
20, 0.000000, 100.000000, 22.320000, 1
20, 0.000000, 100.000000, 22.880000, 1
20, 0.000000, 100.000000, 22.880000, 1
20, 0.000000, 100.000000, 24.960000, 1
20, 0.000000, 100.000000, 25.680000, 1
20, 0.000000, 100.000000, 23.200000, 1
20, 0.000000, 100.000000, 23.040000, 1
20, 0.000000, 100.000000, 22.480000, 1
20, 0.000000, 100.000000, 20.800000, 1
20, 0.000000, 100.000000, 20.400000, 1
20, 0.000000, 100.000000, 20.480000, 1
20, 0.000000, 100.000000, 21.600000, 1
20, 0.000000, 100.000000, 21.760000, 1
20, 0.000000, 100.000000, 24.080000, 1
20, 0.000000, 100.000000, 24.640000, 1
20, 0.000000, 100.000000, 26.720000, 1
20, 0.000000, 100.000000, 26.720000, 1
20, 0.000000, 100.000000, 28.480000, 1
20, 0.000000, 100.000000, 26.160000, 1
20, 0.000000, 100.000000, 24.720000, 1
20, 0.000000, 100.000000, 22.800000, 1
20, 0.000000, 100.000000, 21.120000, 1
20, 0.000000, 100.000000, 19.840000, 1
20, 0.000000, 100.000000, 20.160000, 1
20, 0.000000, 100.000000, 20.320000, 1
20, 0.000000, 100.000000, 23.200000, 1
20, 0.000000, 100.000000, 24.080000, 1
20, 0.000000, 100.000000, 24.480000, 1
20, 0.000000, 100.000000, 24.480000, 1
20, 0.000000, 100.000000, 24.560000, 1
20, 0.000000, 100.000000, 22.400000, 1
20, 0.000000, 100.000000, 22.240000, 1
20, 0.000000, 100.000000, 22.000000, 1
20, 0.000000, 100.000000, 22.880000, 1
20, 0.000000, 100.000000, 26.640000, 1
20, 0.000000, 100.000000, 25.360000, 1
20, 0.000000, 100.000000, 24.960000, 1
20, 0.000000, 100.000000, 24.560000, 1
20, 0.000000, 100.000000, 22.480000, 1
20, 0.000000, 100.000000, 18.720000, 1
20, 0.000000, 100.000000, 20.320000, 1
20, 0.000000, 100.000000, 20.080000, 1
20, 0.000000, 100.000000, 20.000000, 1
20, 0.000000, 100.000000, 20.160000, 1
20, 0.000000, 100.000000, 19.440000, 1
20, 0.000000, 100.000000, 17.840000, 1
20, 0.000000, 100.000000, 19.360000, 1
